Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BATTERY1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Female,
BZ1,PUIAudio_SMT_0825_S_4_R,1,MLT-7525,
"C1, C2",_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CAPC0805_M.PcbLib_CAPC0805_M,2,4.7uF/50V,
C10,0603,1,1u,
C11,0603,1,100n,
C12,0603,1,100n,
C13,0603,1,100n,
C14,0603,1,100n,
C15,0603,1,1u,
C16,0603,1,39p,
C17,0603,1,39p,
C18,0603,1,1u,
C19,0603,1,10u,
C20,0603,1,10u,
C21,0805,1,47u,
C22,0805,1,47u,
C23,0603,1,100n,
C24,0603,1,10u,
C3,2220,1,"0.47uF,630V,X7T",
C4,0603,1,100n,
C5,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CAPC0603_M.PcbLib_CAPC0603_M,1,100n,
C6,0603,1,100n,
C7,0603,1,100n,
C8,0603,1,100n,
C9,0603,1,100n,
D1,D_SOD-123F,1,DS14W,
D10,0603,1,PICO_LED1,
"D11, D13",D_SOD-923,2,LESD9L5.0T5G,
D12,0603,1,STATUS1,
D14,D_SOD-523,1,PESDNC5D7VU,
D15,0603,1,5V_PWR,
D2,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_DO-214AC.PcbLib_DO-214AC,1,MURA160T3G,
"D3, D4, D5",_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_NewAE_AltiumLib.DBLib/main_DSS13UTR,3,GOODWORK A7,
D6,0603,1,CHARGING,
D7,_Users_colin_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_SOD323.PcbLib_SOD323,1,MM3Z18VB,
D8,0603,1,CHARGE_ON1,
D9,0603,1,H.V_DETECTED1,
J1,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CON-SMA-MALE-PCB-EDGE062.PcbLib_CON-SMA-MALE-PCB-EDGE062,1,EDGE-SMA,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C709357
J3,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_GCT_BG306.PcbLib_BG306-R2-2PIN,1,BG306-02-A-2-0400-L-G,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J6,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
"MH1_5, MH1_4, MH1_3, MH1_2, MH1",_Users_colin_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_MOUNT_M3_TIGHT.PcbLib_MOUNT_M3_TIGHT,5,"M3, Tight Fit",
P2,HDR1X2,1,Header 2,
P3,HDR1X4,1,Header 4,
Q1,SOP254P952X470-6N,1,LDA111STR,
Q2,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_DPAK_TO-252AA_M.PcbLib_DPAK_TO-252AA_M,1,RGT16BM65DTL,
